id,formation,color,notes,length,centroid_x,centroid_y
,Cénomanien,Black,,10582.9912980182,18318,6393078
,Turonien,Green,,20732.4148898077,18848,6396091
,Coniacien,Yellow,,148046.529554196,44633,6412293
,Cénomanien,Black,,16098.0538187344,43326,6407943
,Turonien,Green,,43873.0849422921,48654,6412715
,Santonien,Red,,51600.1803254139,31460,6406555
,Santonien,Red,,164127.561180856,83399,6429472
,Campanien,Pink,,36034.9412579642,110615,6438777
,Turonien,Green,,83364.224250225,137021,6447778
,Coniacien,Yellow,,83068.0189820825,136112,6449061
